Video ID,Title,Description,Category
aEHQLSPd-UU,DIY || Old bangles reuse idea  | Best craft idea | DIY arts and crafts | Amazing craft idea,DIY || Old bangles reuse idea | Best craft idea | DIY arts and crafts | Amazing craft idea.,art
-Rulkhgrzf8,HSC Islamic History and Culture 2nd Paper MCQ Answer 2019| 30 Correct Ans,"HSC Islamic History and Culture 2nd Paper MCQ Answer 2019 HSC Islamic History and Culture 2nd Paper MCQ Answer Full Tutorial Hi Guys, Welcome to My ...",history
wnBYo8ecbnA,5 Giant DIY Foods Challenge &amp; How To Make The Best Avengers Endgame Pancake Art in 24 Hours,"Learn how to make the 5 most epic giant foods in this new 24 hours food cooking challenge featuring the best diy Wendys chicken nugget, a crazy Iron Man ...",food
R7vmHGAshi8,How to travel the world with almost no money | Tomislav Perko | TEDxTUHH,"Many people daydream about traveling the world, but all of them have the same excuse - lack of money. Tomislav, after traveling the world for years with almost ...",travel
ehmsJLZlCZ0,Ep 1| Travelling through North East India | Off To Arunachal | The Journey Begins | Pasighat,"The journey to Arunachal, North East India begins with a train journey from Guwahati to Murkongselek. From here we head to Pasighat. And me and my travel ...",travel
DJUzVC2RE9c,#SCIENCE &amp; TECHNOLOGY #CURRENTAFFAIRS2018 (AUGUST - OCTOBER) #विज्ञान प्रौद्योगिकी #2018,For previous part of this video click - https://www.youtube.com/watch?v=ep82CmKsQ5Y please note - Shakti is the name of India's first microprocessor (not ...,science and technology
rjT1klsy-1c,Smart manufacturing of power semiconductors,"ABB Semiconductors enhances productivity with the full automation of its backend production, including transport logistics and other processes. Using robots ...",manufacturing
owDDacaoOkY,Mumbai STREET Food Tour - Bombay Sandwich + Pancham Thali + Sardar Pav Bhaji,Mumbai is a buzzing metropolis and if you are wondering what keeps the mega city going then there are two evident answers: the unflinching spirit of the ...,food
V-tFtSePByQ,Do You Know ! How Are Steel Pipes Produced | Steel Pipe Manufacturing Process At The Factory,How Are #Steel #Pipes Produced | Steel Pipe #Manufacturing Process At The Factory Please Subscribe https://bit.ly/2P5pcTp Thank you very much !,manufacturing
QdwXMLJfGTc,THIS ART BOX is INCREDIBLE!!,"Type your Question with ""Q:"" at the start so I can find it! ➨ Merch: http://jazzastudios.com/Links/shirts.php -------------------------------- MORE OF ME! - Follow/Sub ...",art
0XT93hNamn0,Unlimited Chole Bhature Eating Challenge | Huge Chola Bhatura | Food Challenge India,Please Follow us on : https://www.instagram.com/craziestfoodcompetitions/ #cholebhature #foodchallengeindia #mukbang FEEL FREE TO ...,food
-X1RHzKYGgY,Hong Kong Street Food. A Walk Around the Stalls and Restaurants of Kowloon,"This is a schedule of what you will see: 00:00 Temple street, Beef, Seafoot, Big Squids 02:28 Lunch Boxes prepared for students 06:21 Soup stall in Temple ...",food
XE3XJK8CG6I,5 Most Amazing Accidental Historical Discoveries,5 Most Amazing Accidental Historical Discoveries Rich soil always appreciates good care so it can provide miraculous natural gifts to the farmer. However ...,history
NeFD997kTl4,Simple In-Flight Skincare Routine | Model Travel Tips For Hydrated &amp; Glowy Skin | Sanne Vloet,"Simple & Easy In-Flight Skincare Routine For Anyone | Great Model Travel Tips To Keep Your Skin Glowing & Hydrated While You Fly | Sanne Vloet Hey Guys, ...",travel
_ZYBBefb8Yc,"UPSC CSE Prelims 2019 Science &amp; Technology Current Affairs 2018-19 yearly roundup, Set 9 हिंदी में",Flat 60% #Discount on #Pendrive_Courses for Various Govt. Exams. Click here to know more - https://goo.gl/aTFK6Q or #Call_9580048004. Discount VALID till ...,science and technology
ZCGK40n8V-I,The most satisfying and amazing art video,The most satisfying and amazing art video Subscribe to the MERRY-TV channel https://www.youtube.com/c/MERRYTV Подпишись на канал MERRY-TV ...,art
fQY8YFHyuHs,PVC Pipe I Detail Factory Processing I In Hindi I Manufacturing Process I How it&#39;s Made,PVC Pipe I Detail Factory Processing I In Hindi I Manufacturing Process I How it's Made In this video you will enjoy watching PVC pipe manufacturing process ...,manufacturing
4pnX8Jzer_c,"UPSC CSE Prelims 2019 Science &amp; Technology Current Affairs 2018-19 yearly roundup, Set 7 हिंदी में",Flat 60% #Discount on #Pendrive_Courses for Various Govt. Exams. Click here to know more - https://goo.gl/aTFK6Q or #Call_9580048004. Discount VALID till ...,science and technology
q50IDkdOyOA,NO HANDS PIZZA EATING CHALLENGE | Domino&#39;s Pizza Eating Competition | Food Challenge,Download Nostra Pro App & Earn Money from Cricket T20 Festival with your Sports Knowledge. App Link- https://nstra.pro/iX4P95LsbV Rs 100 Sign up Bonus ...,food
d718jviCLIU,Boat in Ocean Coloring and Drawing Painting learn How to Color Draw colors for kids | Kids Art Time,"Boat in Ocean Coloring and Drawing Painting learn How to Color Draw colors for kids | Kids Art Time Let's learn how draw, color and paint Toy Boat in the ...",art
fi13PBjO5dA,Trying Ready to Eat Meals In Hotel ? Instant Travel Food ! { Not Sponsered },"Crazy about Indian Food While Travelling, Eating during travel can be expensive & hard to find right choices, I found some Food options for you to make your ...",travel
xPXifzNHyYU,The Science and Technology of Tomorrow,"Part 2: https://www.youtube.com/watch?v=yO2_6fExuWI No one knows what the future of science and technology will be, but experts are able to predict what ...",science and technology
g0dvJX4ikHM,How To Afford a Life of Non-Stop Travel (Even if You&#39;re Broke AF),How To Afford to a Life of Non-Stop Travel (Even if You're Broke AF). ADVANCED SELFIE UNIVERSITY: https://bit.ly/2BJ4V4B MY PRESETS: ...,travel
fq5k3EtE8HU,Most Satisfying Factory Machines Tools - Manufacturing Process,"Most satisfying factory machines and ingenious tools - manufacturing process. 1. Tyre retreading - www.reifenmueller.de, www.marangoni.com 2. Hot dip ...",manufacturing
nFCo2-4iTFk,New Zealand&#39;s Best Hike | Tongariro Alpine Crossing Travel Vlog,Ever wanted to hike across an ACTIVE VOLCANO? Join Alex The Vagabond and Carrie Rad as they do New Zealand's BEST DAY HIKE the Tongariro Alpine ...,travel
HCKMkM0wF9o,Trick Art Drawing 3D Tiny House on paper,"Cool Trick Art Drawing 3D Tiny House on paper - Small Cabin looks 3D - Draw the Lines step by step As it is shown in this video and will be awesome, Please ...",art
xPXifzNHyYU,The Science and Technology of Tomorrow,"Part 2: https://www.youtube.com/watch?v=yO2_6fExuWI No one knows what the future of science and technology will be, but experts are able to predict what ...",science and technology
nxmWfbXS4Pw,Asian Responses to Imperialism: Crash Course World History #213,"In which John Green teaches you about Imperialism, but not from the perspective of the colonizers. This week John looks at some Asian perspectives on ...",history
